"","seqnames","start","end","width","strand","fold_change","negative_log10(pvalue)","SYMBOL","annotation","annotation_TSS"
"62","chr1",44101235,44103046,1812,"*",10.23088,62.02039,"Tex30","Promoter","TSS"
"63","chr1",44118403,44119743,1341,"*",6.01761,27.6504,"Bivm","Promoter","TSS"
"64","chr1",44147380,44148734,1355,"*",8.3582,41.85216,"Ercc5","Promoter","TSS"
"65","chr1",45794707,45797360,2654,"*",8.2005,45.48878,"Wdr75","Promoter","TSS"
"66","chr1",51477307,51479059,1753,"*",3.79791,13.62567,"Nabp1","Promoter","TSS"
"67","chr1",52231113,52233872,2760,"*",9.50316,51.88116,"Gls","Promoter","TSS"
"68","chr1",52499690,52500958,1269,"*",7.44223,34.25377,"Nab1","Promoter","TSS"
"69","chr1",52799300,52800388,1089,"*",7.21324,32.41864,"Inpp1","Exon","Exon"
"70","chr1",52844431,52845833,1403,"*",5.92314,23.97116,"Hibch","Promoter","TSS"
"71","chr1",53784596,53785685,1090,"*",11.55763,84.50008,"Stk17b","Promoter","TSS"
"72","chr1",54924539,54926325,1787,"*",7.40072,48.85612,"Ankrd44","Promoter","TSS"
"73","chr1",55026076,55029625,3550,"*",7.55673,35.18108,"Sf3b1","Promoter","TSS"
"74","chr1",55052277,55053808,1532,"*",8.32408,54.59492,"Coq10b","Promoter","TSS"
"75","chr1",55084525,55089692,5168,"*",6.37463,34.37976,"Hspd1","Promoter","TSS"
"76","chr1",55237305,55239374,2070,"*",5.26961,29.48288,"Mars2","Promoter","TSS"
"77","chr1",56386498,56452248,65751,"*",5.4958,19.6183,"Hsfy2","Intergenic","enhancer"
"78","chr1",57405145,57407763,2619,"*",5.87196,24.99354,"Maip1","Promoter","TSS"
"79","chr1",58214659,58216224,1566,"*",6.54652,30.72662,"Aox4","Intron","Intron"
"80","chr1",58391932,58393890,1959,"*",5.6926,34.96016,"Bzw1","Promoter","TSS"
"81","chr1",58422462,58423993,1532,"*",6.93152,62.73351,"Clk1","Promoter","TSS"
"82","chr1",58504177,58505933,1757,"*",9.73215,53.95411,"Orc2","Promoter","TSS"
"83","chr1",58585640,58586943,1304,"*",7.44223,34.25377,"Fam126b","Promoter","TSS"
"84","chr1",58710947,58712238,1292,"*",7.83244,44.41393,"Cflar","Promoter","TSS"
"85","chr1",58713334,58716261,2928,"*",10.19013,58.16312,"Cflar","Promoter","TSS"
"86","chr1",58794978,58797102,2125,"*",6.84521,34.71591,"Casp8","Promoter","TSS"
"87","chr1",58801933,58803534,1602,"*",4.73851,15.47467,"Casp8","Promoter","TSS"
"88","chr1",58817545,58818855,1311,"*",3.03722,5.81667,"Casp8","Intron","Intron"
"89","chr1",58972895,58974259,1365,"*",8.70169,44.80215,"Stradb","Promoter","TSS"
"90","chr1",59236642,59238045,1404,"*",9.92159,62.54344,"Als2","Promoter","TSS"
"91","chr1",59670070,59671560,1491,"*",11.92832,98.38713,"Sumo1","Promoter","TSS"
"92","chr1",59684383,59687016,2634,"*",8.58719,43.81281,"Nop58","Promoter","TSS"
"93","chr1",59762402,59764578,2177,"*",3.68327,12.33105,"Bmpr2","Promoter","TSS"
"94","chr1",59912451,59914141,1691,"*",9.38866,50.8529,"Fam117b","Promoter","TSS"
"95","chr1",60096634,60098825,2192,"*",8.47269,42.82979,"Carf","Promoter","TSS"
"96","chr1",60179202,60181311,2110,"*",9.04517,47.80219,"Nbeal1","Promoter","TSS"
"97","chr1",60342683,60344098,1416,"*",3.85176,10.4642,"Cyp20a1","Promoter","TSS"
"98","chr1",60409153,60410399,1247,"*",5.57112,35.41626,"Abi2","Promoter","TSS"
"99","chr1",63175856,63178905,3050,"*",5.50781,34.64524,"Ndufs1","Promoter","TSS"
"100","chr1",64078121,64079484,1364,"*",5.0631,21.92783,"Mir6899","Exon","Exon"
"101","chr1",64118717,64122473,3757,"*",7.32774,33.33225,"Klf7","Promoter","TSS"
"102","chr1",64301421,64306062,4642,"*",4.46534,12.90807,"Klf7","Intergenic","enhancer"
"103","chr1",64531910,64533929,2020,"*",6.49061,42.03294,"Creb1","Promoter","TSS"
"104","chr1",64616492,64618310,1819,"*",8.3117,46.49321,"Mettl21a","Promoter","TSS"
"105","chr1",64689693,64691635,1943,"*",4.18676,24.11888,"Ccnyl1","Promoter","TSS"
"106","chr1",65186019,65187229,1211,"*",9.39177,70.12108,"Idh1","Promoter","TSS"
"107","chr1",66699854,66702411,2558,"*",6.46161,28.16813,"Rpe","Promoter","TSS"
"108","chr1",66816198,66818076,1879,"*",9.27417,49.83066,"Kansl1l","Promoter","TSS"
"109","chr1",69682526,69689064,6539,"*",7.39057,37.98841,"Ikzf2","Promoter","TSS"
"110","chr1",71102165,71103662,1498,"*",10.9916,65.71446,"Bard1","Promoter","TSS"
"111","chr1",71557218,71558554,1337,"*",9.04625,50.64603,"Atic","Promoter","TSS"
"112","chr1",72243360,72246161,2802,"*",3.89286,9.54961,"D230017M19Rik","Promoter","TSS"
"113","chr1",72248073,72256371,8299,"*",7.41336,42.51666,"D230017M19Rik","Intron","Intron"
"114","chr1",72711339,72713416,2078,"*",4.7788,23.29738,"Rpl37a","Promoter","TSS"
"115","chr1",74236041,74239964,3924,"*",6.38079,58.9498,"Arpc2","Promoter","TSS"
"116","chr1",74283848,74287071,3224,"*",12.98514,117.83258,"Aamp","Promoter","TSS"
"117","chr1",74386840,74387941,1102,"*",2.35452,3.20185,"Ctdsp1","Intergenic","enhancer"
"118","chr1",74389699,74393948,4250,"*",4.73562,24.72807,"Ctdsp1","Promoter","TSS"
"119","chr1",74396627,74398243,1617,"*",6.30416,30.14622,"Mir26b","Promoter","TSS"
"120","chr1",74505296,74507361,2066,"*",12.2284,100.5917,"Usp37","Promoter","TSS"
"121","chr1",74587304,74588858,1555,"*",5.81544,23.15425,"Bcs1l","Promoter","TSS"
"122","chr1",74600821,74601948,1128,"*",6.12481,32.74804,"Stk36","Promoter","TSS"
"123","chr1",75141293,75143526,2234,"*",5.19127,30.86348,"Retreg2","Promoter","TSS"
"124","chr1",75168204,75169343,1140,"*",3.79074,12.56141,"Zfand2b","Promoter","TSS"
"125","chr1",75191104,75192646,1543,"*",5.61791,36.87777,"Atg9a","Promoter","TSS"
"126","chr1",75210371,75213160,2790,"*",6.40432,39.35062,"Stk16","Promoter","TSS"
"127","chr1",75216365,75219928,3564,"*",3.76156,19.58345,"Tuba4a","Promoter","TSS"
"128","chr1",75235350,75237287,1938,"*",9.76547,66.05333,"Dnajb2","Promoter","TSS"
"129","chr1",75316326,75317423,1098,"*",12.46206,87.17471,"Dnpep","Promoter","TSS"
"130","chr1",75399116,75400580,1465,"*",4.47601,24.48796,"Speg","Promoter","TSS"
"131","chr1",75520361,75522480,2120,"*",5.71295,23.55588,"Stk11ip","Promoter","TSS"
"132","chr1",78488135,78489666,1532,"*",8.58719,43.81281,"Farsb","Promoter","TSS"
"133","chr1",78657439,78659135,1697,"*",5.26961,29.48288,"Utp14b","Promoter","TSS"
"134","chr1",79670840,79671944,1105,"*",7.91352,67.05837,"Ap1s3","Promoter","TSS"
"135","chr1",79761096,79762443,1348,"*",3.86191,25.02036,"Wdfy1","Promoter","TSS"
"136","chr1",80339167,80341463,2297,"*",6.98425,30.61175,"Cul3","Promoter","TSS"
"137","chr1",80663181,80665214,2034,"*",4.00736,10.19684,"Dock10","Promoter","TSS"
"138","chr1",82316136,82317887,1752,"*",5.27808,28.42115,"Rhbdd1","Promoter","TSS"
"139","chr1",82795660,82796967,1308,"*",2.44099,3.36937,"Tm4sf20","Intergenic","enhancer"
"140","chr1",84837698,84841202,3505,"*",8.82831,74.95058,"Trip12","Promoter","TSS"
"141","chr1",84968216,84987881,19666,"*",1.72013,3.49252,"Slc16a14","Exon","Exon"
"142","chr1",84991248,84993111,1864,"*",1.69634,3.55602,"Slc16a14","Exon","Exon"
"143","chr1",84995245,85584386,589142,"*",5.62747,139.61031,"A530032D15Rik","Promoter","TSS"
"144","chr1",85597403,85601426,4024,"*",2.87378,48.17865,"Sp110","Promoter","TSS"
"145","chr1",85614647,85617557,2911,"*",1.76558,4.0454,"Sp110","Exon","Exon"
"146","chr1",85649560,85650657,1098,"*",1.85997,3.55631,"Sp100","Promoter","TSS"
"147","chr1",85735344,85737521,2178,"*",4.89388,18.76237,"A630001G21Rik","Promoter","TSS"
"148","chr1",85750486,85752375,1890,"*",4.72416,17.06723,"Mir8096","Promoter","TSS"
"149","chr1",85793475,85794546,1072,"*",7.71232,52.51117,"Cab39","Promoter","TSS"
"150","chr1",85894622,85895926,1305,"*",7.18641,40.49226,"Itm2c","Promoter","TSS"
"151","chr1",86062947,86065775,2829,"*",6.18092,36.85541,"Psmd1","Promoter","TSS"
"152","chr1",86153874,86155110,1237,"*",4.9608,17.99882,"Armc9","Promoter","TSS"
"153","chr1",86298556,86306203,7648,"*",6.62773,41.89189,"B3gnt7","Promoter","TSS"
"154","chr1",86356986,86360649,3664,"*",7.86973,64.19198,"Ncl","Promoter","TSS"
"155","chr1",86439972,86443619,3648,"*",5.34051,37.36211,"Tex44","Intergenic","enhancer"
"156","chr1",86486704,86488767,2064,"*",7.2467,39.31693,"Ptma","Intergenic","enhancer"
"157","chr1",86502340,86505639,3300,"*",5.07285,25.52282,"Ptma","Intergenic","enhancer"
"158","chr1",86516307,86517727,1421,"*",4.00173,11.82708,"Ptma","Intergenic","enhancer"
"159","chr1",86525065,86530005,4941,"*",5.21574,37.96528,"Ptma","Promoter","TSS"
"160","chr1",86581766,86583253,1488,"*",5.26452,20.25172,"Pde6d","Promoter","TSS"
"161","chr1",87078768,87079875,1108,"*",3.69557,13.88917,"Alppl2","Intergenic","enhancer"
"162","chr1",87213147,87215951,2805,"*",12.36555,79.15837,"Eif4e2","Promoter","TSS"
"163","chr1",87619890,87621968,2079,"*",6.43615,34.67272,"Inpp5d","Promoter","TSS"
"164","chr1",87755486,87757259,1774,"*",9.80075,66.81701,"Atg16l1","Promoter","TSS"
"165","chr1",87852711,87855223,2513,"*",5.55299,36.4702,"Gm19582","Promoter","TSS"
"166","chr1",88276477,88278502,2026,"*",8.86642,140.41574,"Hjurp","Promoter","TSS"
"167","chr1",88432956,88434053,1098,"*",3.00353,6.63479,"Spp2","Intergenic","enhancer"
"168","chr1",88508413,88510410,1998,"*",3.43488,7.09961,"Glrp1","Promoter","TSS"
"169","chr1",90582062,90583238,1177,"*",4.09568,12.74761,"Cops8","Intergenic","enhancer"
"170","chr1",90603080,90604465,1386,"*",5.06388,25.12357,"Cops8","Promoter","TSS"
"171","chr1",90969070,90970548,1479,"*",4.77588,17.60305,"Rab17","Promoter","TSS"
"172","chr1",90973593,90974832,1240,"*",3.21714,9.71021,"Rab17","Intergenic","enhancer"
"173","chr1",90997928,90999576,1649,"*",5.12201,33.32517,"Lrrfip1","Promoter","TSS"
"174","chr1",91052225,91055426,3202,"*",7.39457,44.88816,"Lrrfip1","Promoter","TSS"
"175","chr1",91179334,91182031,2698,"*",6.7022,42.75094,"Ramp1","Promoter","TSS"
"176","chr1",91184191,91188635,4445,"*",4.44043,18.37796,"Ramp1","Intron","Intron"
"177","chr1",91249511,91252057,2547,"*",13.94046,104.32896,"Ube2f","Promoter","TSS"
"178","chr1",91297867,91299204,1338,"*",9.66427,55.47107,"Scly","Promoter","TSS"
"179","chr1",91397744,91399235,1492,"*",4.84048,22.94035,"Ilkap","Promoter","TSS"
"180","chr1",91412111,91414529,2419,"*",4.66672,27.60856,"Hes6","Promoter","TSS"
"181","chr1",91458232,91460366,2135,"*",6.11685,40.73767,"Per2","Promoter","TSS"
"182","chr1",91493595,91495548,1954,"*",5.82435,38.55233,"Traf3ip1","Promoter","TSS"
"183","chr1",91539682,91541434,1753,"*",5.79707,39.59494,"Asb1","Promoter","TSS"
"184","chr1",92331851,92333117,1267,"*",4.80883,15.05654,"Mir6900","Intergenic","enhancer"
"185","chr1",92473070,92474270,1201,"*",4.80566,19.73322,"Ndufa10","Promoter","TSS"
"186","chr1",92640745,92642374,1630,"*",3.49494,11.6914,"Cops9","Promoter","TSS"
"187","chr1",92907040,92912328,5289,"*",6.20531,38.69641,"Rnpepl1","Promoter","TSS"
"188","chr1",92933834,92935290,1457,"*",5.63554,24.42171,"Capn10","Promoter","TSS"
"189","chr1",93342404,93344712,2309,"*",12.03723,95.53665,"Pask","Promoter","TSS"
"190","chr1",93444064,93446074,2011,"*",11.33509,69.01814,"Hdlbp","Promoter","TSS"
"191","chr1",93477777,93480193,2417,"*",8.58719,43.81281,"Hdlbp","Promoter","TSS"
"192","chr1",93634693,93636361,1669,"*",7.45958,56.11227,"Stk25","Promoter","TSS"
"193","chr1",93668082,93669225,1144,"*",3.20216,9.02214,"Bok","Intergenic","enhancer"
"194","chr1",93753711,93755660,1950,"*",7.30075,56.13492,"Atg4b","Promoter","TSS"
"195","chr1",93801418,93804837,3420,"*",7.59508,48.86818,"Dtymk","Promoter","TSS"
"196","chr1",93824678,93826149,1472,"*",4.32551,17.23091,"D2hgdh","Promoter","TSS"
"197","chr1",93901277,93905709,4433,"*",5.13543,26.92795,"Gal3st2b","Intron","Intron"
"198","chr1",93910622,93911827,1206,"*",2.40441,2.48425,"Gal3st2b","Intron","Intron"
"199","chr1",93926935,93935184,8250,"*",2.8624,4.35976,"Gal3st2b","Intron","Intron"
"200","chr1",93936338,93966445,30108,"*",3.09139,5.40737,"Gal3st2b","Exon","Exon"
"201","chr1",95664298,95668965,4668,"*",4.67414,20.44936,"St8sia4","Promoter","TSS"
"202","chr1",97660451,97662369,1919,"*",4.73488,29.37275,"D1Ertd622e","Promoter","TSS"
"203","chr1",97769281,97770778,1498,"*",9.63677,73.16859,"Ppip5k2","Promoter","TSS"
"204","chr1",98094947,98096085,1139,"*",9.96114,56.04811,"Pam","Promoter","TSS"
"205","chr1",101899125,101903588,4464,"*",3.01121,8.34894,"Gm20268","Intergenic","enhancer"
"206","chr1",105663015,105666879,3865,"*",5.12201,33.32517,"Relch","Promoter","TSS"
"207","chr1",105971323,105972439,1117,"*",3.20588,5.95645,"Zcchc2","Intergenic","enhancer"
"208","chr1",105989683,105993954,4272,"*",7.44223,34.25377,"Zcchc2","Promoter","TSS"
"209","chr1",106158935,106162360,3426,"*",4.9704,16.30554,"Gm20753","Intron","Intron"
"210","chr1",106516041,106518348,2308,"*",2.88557,7.75721,"Mir3473f","Intergenic","enhancer"
"211","chr1",106711379,106718043,6665,"*",11.10678,92.11937,"Bcl2","Promoter","TSS"
"212","chr1",106758113,106760363,2251,"*",7.69035,38.21022,"Kdsr","Promoter","TSS"
"213","chr1",106796043,106797367,1325,"*",5.7717,40.63989,"Vps4b","Promoter","TSS"
"214","chr1",118321172,118323105,1934,"*",9.71911,60.46468,"Nifk","Promoter","TSS"
"215","chr1",118388527,118390529,2003,"*",6.22423,45.23595,"Clasp1","Promoter","TSS"
"216","chr1",118981375,118983278,1904,"*",5.85216,28.56124,"Mir6346","Intron","Intron"
"217","chr1",119124052,119126273,2222,"*",4.80883,15.05654,"Gli2","Intergenic","enhancer"
"218","chr1",119503297,119505856,2560,"*",7.4559,43.20727,"Ralb","Promoter","TSS"
"219","chr1",119524687,119527755,3069,"*",8.64723,57.26707,"Tmem185b","Promoter","TSS"
"220","chr1",119648086,119649343,1258,"*",8.80794,51.33986,"Epb41l5","Promoter","TSS"
"221","chr1",119912387,119913669,1283,"*",4.65086,15.47761,"Tmem177","Promoter","TSS"
"222","chr1",120099287,120100586,1300,"*",4.03332,13.61468,"Dbi","Intergenic","enhancer"
"223","chr1",120119739,120122898,3160,"*",3.96409,20.11491,"Dbi","Promoter","TSS"
"224","chr1",120263823,120266559,2737,"*",4.98336,21.21778,"Steap3","Promoter","TSS"
"225","chr1",121327078,121328543,1466,"*",8.93068,46.79614,"Insig2","Promoter","TSS"
"226","chr1",125430885,125438323,7439,"*",11.95397,79.53361,"Actr3","Promoter","TSS"
"227","chr1",125559142,125561593,2452,"*",5.86185,43.26346,"Slc35f5","Promoter","TSS"
"228","chr1",127203495,127207038,3544,"*",6.50929,33.68307,"Mgat5","Promoter","TSS"
"229","chr1",127773127,127775109,1983,"*",6.64076,27.95482,"2900009J06Rik","Promoter","TSS"
"230","chr1",128243527,128245058,1532,"*",3.91452,23.29648,"Ubxn4","Promoter","TSS"
"231","chr1",128357811,128359611,1801,"*",4.73562,24.72807,"Mcm6","Promoter","TSS"
"232","chr1",128414690,128417910,3221,"*",7.44223,34.25377,"Dars","Promoter","TSS"
"233","chr1",128590607,128592213,1607,"*",2.88239,11.60866,"Cxcr4","Promoter","TSS"
"234","chr1",131096034,131098270,2237,"*",6.01428,40.95199,"Mapkapk2","Promoter","TSS"
"235","chr1",131110799,131111901,1103,"*",2.40283,3.37022,"Mapkapk2","Intergenic","enhancer"
"236","chr1",131135478,131139200,3723,"*",6.69011,35.40395,"Dyrk3","Promoter","TSS"
"237","chr1",131198387,131200101,1715,"*",8.57825,48.15657,"Rassf5","Promoter","TSS"
"238","chr1",131279267,131280395,1129,"*",3.22285,10.3616,"Ikbke","Promoter","TSS"
"239","chr1",131524755,131528808,4054,"*",9.39578,63.71715,"Fam72a","Promoter","TSS"
"240","chr1",131827255,131828772,1518,"*",4.37367,23.54648,"Slc41a1","Promoter","TSS"
"241","chr1",131910541,131912209,1669,"*",6.82704,59.17015,"Nucks1","Promoter","TSS"
"242","chr1",132007337,132009153,1817,"*",7.41341,54.35437,"Elk4","Promoter","TSS"
"243","chr1",132137985,132140167,2183,"*",3.93369,15.34101,"Cdk18","Promoter","TSS"
"244","chr1",132150483,132151827,1345,"*",4.40801,14.8591,"Cdk18","Intergenic","enhancer"
"245","chr1",132317701,132318894,1194,"*",3.2308,6.45391,"Nuak2","Promoter","TSS"
"246","chr1",132416866,132418165,1300,"*",4.82994,21.87329,"Dstyk","Promoter","TSS"
"247","chr1",133022060,133027278,5219,"*",3.99422,15.91176,"Mdm4","Promoter","TSS"
"248","chr1",133032361,133033708,1348,"*",3.43488,7.09961,"Mdm4","Promoter","TSS"
"249","chr1",133045753,133047181,1429,"*",3.59337,10.95196,"Pik3c2b","Promoter","TSS"
"250","chr1",133130263,133135935,5673,"*",6.62773,41.89189,"Ppp1r15b","Promoter","TSS"
"251","chr1",134077434,134079665,2232,"*",4.6215,24.40399,"Btg2","Promoter","TSS"
"252","chr1",134092698,134099961,7264,"*",3.82817,17.41797,"Chit1","Intergenic","enhancer"
"253","chr1",134406004,134407214,1211,"*",12.25106,78.01469,"Cyb5r1","Promoter","TSS"
"254","chr1",134414915,134416915,2001,"*",6.0434,32.35331,"Adipor1","Promoter","TSS"
"255","chr1",134494251,134495731,1481,"*",5.08337,17.05494,"Rabif","Promoter","TSS"
"256","chr1",134560207,134562823,2617,"*",5.4919,40.69666,"Kdm5b","Promoter","TSS"
"257","chr1",135130762,135134810,4049,"*",6.7775,41.77722,"Ptprv","Promoter","TSS"
"258","chr1",135146042,135148779,2738,"*",7.02341,42.56901,"Arl8a","Promoter","TSS"
"259","chr1",135281552,135284823,3272,"*",4.17457,30.41683,"Rnpep","Promoter","TSS"
"260","chr1",135312576,135314479,1904,"*",4.71546,17.68708,"Timm17a","Promoter","TSS"
"261","chr1",135368450,135370046,1597,"*",7.03918,34.59826,"Shisa4","Intergenic","Intergenic"
"262","chr1",135429736,135430945,1210,"*",3.839,19.31672,"Ipo9","Promoter","TSS"
"263","chr1",135686516,135689338,2823,"*",3.40793,16.89646,"Csrp1","Exon","Exon"
"264","chr1",135691306,135692623,1318,"*",3.95232,12.99271,"Csrp1","Intergenic","enhancer"
"265","chr1",135719783,135721260,1478,"*",9.7741,56.51036,"Csrp1","Intergenic","enhancer"
"266","chr1",135728535,135730660,2126,"*",3.55725,14.84981,"Csrp1","Promoter","TSS"
"267","chr1",136017375,136018739,1365,"*",6.75526,28.83208,"Tmem9","Promoter","TSS"
"268","chr1",136129306,136133189,3884,"*",9.16969,58.03167,"Kif21b","Promoter","TSS"
"269","chr1",136624546,136626288,1743,"*",5.9732,25.81034,"Zfp281","Promoter","TSS"
"270","chr1",138191021,138192132,1112,"*",4.57983,13.61486,"Ptprc","Exon","Exon"
"271","chr1",138617396,138621312,3917,"*",16.25841,120.22231,"Nek7","Promoter","TSS"
"272","chr1",138962880,138964225,1346,"*",5.5107,29.65605,"Dennd1b","Promoter","TSS"
"273","chr1",139421439,139423013,1575,"*",10.87711,64.62201,"Zbtb41","Promoter","TSS"
"274","chr1",139454339,139455634,1296,"*",6.97278,36.20122,"Aspm","Promoter","TSS"
"275","chr1",139691806,139693422,1617,"*",2.40441,2.48425,"Gm4788","Intergenic","enhancer"
"276","chr1",139696307,139698370,2064,"*",2.28992,2.06315,"Gm4788","Exon","Exon"
"277","chr1",139705643,139710793,5151,"*",2.51891,2.9242,"Gm4788","Intron","Intron"
"278","chr1",139712117,139713289,1173,"*",2.40441,2.48425,"Gm4788","Intron","Intron"
"279","chr1",139723513,139790742,67230,"*",3.09139,5.40737,"Gm4788","Promoter","TSS"
"280","chr1",143702035,143703141,1107,"*",3.48594,12.57759,"Cdc73","Promoter","TSS"
"281","chr1",143776511,143778017,1507,"*",6.143,36.22652,"Trove2","Promoter","TSS"
"282","chr1",149960113,149961261,1149,"*",8.58719,43.81281,"Pla2g4a","Promoter","TSS"
"283","chr1",150392036,150393978,1943,"*",4.98575,23.3226,"Tpr","Promoter","TSS"
"284","chr1",151250377,151251469,1093,"*",5.12304,17.54828,"Ivns1abp","Intergenic","enhancer"
"285","chr1",151343788,151345215,1428,"*",4.37219,25.67155,"Ivns1abp","Promoter","TSS"
"286","chr1",151427804,151429363,1560,"*",10.07564,57.10305,"Swt1","Promoter","TSS"
"287","chr1",151499893,151501411,1519,"*",6.5334,37.36172,"Rnf2","Promoter","TSS"
